Format Version,1.21,Take Name,Take 2016-02-09 06.04.27 PM,Capture Frame Rate,206,Export Frame Rate,206,Capture Start Time,2016-02-09 06.04.27.420 PM,Total Frames in Take,4527,Total Exported Frames,4527,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,,,,,,
,,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
58,0.281553,-0.029252,0.02306,0.064782,-0.039977,0.027353,0.077978,-0.016182,0.022352,0.079787,-0.028885,0.025958,0.091087,,,,,,
59,0.286408,-0.029254,0.02306,0.064782,-0.039977,0.027353,0.077978,-0.016184,0.02235,0.079787,-0.028886,0.025958,0.091087,,,,,,
60,0.291262,-0.029255,0.02306,0.064781,-0.039978,0.027353,0.077978,-0.016185,0.022349,0.079788,-0.028886,0.025958,0.091087,,,,,,
61,0.296117,-0.029256,0.02306,0.06478,-0.039978,0.027353,0.077978,-0.016187,0.022347,0.079789,-0.028886,0.025959,0.091087,,,,,,
62,0.300971,-0.029257,0.02306,0.064779,-0.039979,0.027353,0.077977,-0.016189,0.022345,0.079789,-0.028886,0.025959,0.091087,,,,,,
63,0.305825,-0.029258,0.02306,0.064779,-0.039979,0.027354,0.077977,-0.01619,0.022343,0.07979,-0.028886,0.025959,0.091087,,,,,,
64,0.31068,-0.02926,0.02306,0.064778,-0.03998,0.027354,0.077977,-0.016192,0.022341,0.07979,-0.028886,0.02596,0.091087,,,,,,
65,0.315534,-0.029261,0.02306,0.064777,-0.039981,0.027354,0.077977,-0.016193,0.022339,0.079791,-0.028886,0.02596,0.091087,,,,,,
66,0.320388,-0.029262,0.02306,0.064776,-0.039981,0.027354,0.077977,-0.016194,0.022338,0.079792,-0.028886,0.02596,0.091087,,,,,,
67,0.325243,-0.029264,0.02306,0.064775,-0.039982,0.027354,0.077976,-0.016196,0.022336,0.079792,-0.028886,0.025961,0.091087,,,,,,
68,0.330097,-0.029265,0.02306,0.064774,-0.039982,0.027354,0.077976,-0.016197,0.022334,0.079793,-0.028886,0.025961,0.091087,,,,,,
69,0.334951,-0.029266,0.023059,0.064773,-0.039983,0.027354,0.077976,-0.016199,0.022332,0.079793,-0.028886,0.025961,0.091086,,,,,,
70,0.339806,-0.029268,0.023059,0.064772,-0.039983,0.027354,0.077975,-0.0162,0.022331,0.079794,-0.028886,0.025961,0.091086,,,,,,
71,0.34466,-0.029269,0.023059,0.064771,-0.039984,0.027354,0.077975,-0.016201,0.022329,0.079794,-0.028886,0.025962,0.091086,,,,,,
72,0.349515,-0.029271,0.023059,0.06477,-0.039985,0.027354,0.077975,-0.016202,0.022327,0.079795,-0.028886,0.025962,0.091086,,,,,,
73,0.354369,-0.029272,0.023059,0.064769,-0.039985,0.027355,0.077974,-0.016204,0.022326,0.079795,-0.028886,0.025962,0.091086,,,,,,
74,0.359223,-0.029274,0.023059,0.064768,-0.039986,0.027355,0.077974,-0.016205,0.022324,0.079796,-0.028886,0.025962,0.091085,,,,,,
75,0.364078,-0.029275,0.023059,0.064767,-0.039987,0.027355,0.077974,-0.016206,0.022322,0.079796,-0.028886,0.025962,0.091085,,,,,,
