Format Version,1.21,Take Name,SamTrail2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2016-02-02 02.44.51.312 PM,Total Frames in Take,2616,Total Exported Frames,2616,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,,,,
,,soft actuator:constant 0,soft actuator:constant 0,soft actuator:constant 0,soft actuator:end point,soft actuator:end point,soft actuator:end point,soft actuator:middle point,soft actuator:middle point,soft actuator:middle point,,,,,,,,,
,,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,
53,0.441667,-0.032854,0.096999,0.100255,0.072543,0.095826,0.039353,0.011248,0.094961,0.076341,,,,,,,,,
54,0.45,-0.032851,0.096993,0.100258,0.072546,0.095832,0.039355,0.01125,0.094965,0.076339,,,,,,,,,
55,0.458333,-0.032844,0.097002,0.100261,0.072546,0.095829,0.039355,0.011252,0.094961,0.076337,,,,,,,,,
56,0.466667,-0.032838,0.096997,0.100255,0.072548,0.095829,0.039345,0.011255,0.094956,0.076335,,,,,,,,,
57,0.475,-0.032842,0.096994,0.100243,0.072553,0.095827,0.03934,0.011257,0.09496,0.076328,,,,,,,,,
58,0.483333,-0.032844,0.096996,0.100241,0.07255,0.095828,0.039334,0.011258,0.094955,0.076322,,,,,,,,,
59,0.491667,-0.032849,0.096995,0.10023,0.072541,0.095823,0.039328,0.011253,0.094958,0.076316,,,,,,,,,
60,0.5,-0.032852,0.097,0.100229,0.072536,0.095828,0.039327,0.011248,0.094955,0.076322,,,,,,,,,
61,0.508333,-0.032856,0.096993,0.100231,0.072536,0.095824,0.039324,0.011245,0.094961,0.07632,,,,,,,,,
62,0.516667,-0.032857,0.096999,0.100236,0.072537,0.095824,0.039329,0.011242,0.094958,0.076324,,,,,,,,,
63,0.525,-0.032855,0.096996,0.100252,0.07254,0.09583,0.039341,0.011245,0.094958,0.076331,,,,,,,,,
64,0.533333,-0.032848,0.096994,0.100252,0.072541,0.095825,0.039348,0.01125,0.094952,0.076343,,,,,,,,,
65,0.541667,-0.032843,0.096992,0.100256,0.072555,0.095823,0.039354,0.011262,0.094956,0.076344,,,,,,,,,
66,0.55,-0.032837,0.097,0.100253,0.072551,0.095825,0.039352,0.011266,0.094953,0.076347,,,,,,,,,
67,0.558333,-0.032835,0.096995,0.100252,0.072555,0.095828,0.039346,0.011264,0.094957,0.076338,,,,,,,,,
68,0.566667,-0.032842,0.097001,0.100239,0.072549,0.095822,0.039338,0.011257,0.094959,0.076336,,,,,,,,,
69,0.575,-0.032843,0.096996,0.100227,0.07255,0.095821,0.039329,0.011255,0.094956,0.076317,,,,,,,,,
70,0.583333,-0.032847,0.096992,0.100218,0.07254,0.095823,0.039322,0.011249,0.094954,0.076317,,,,,,,,,
71,0.591667,-0.032851,0.096995,0.100222,0.072544,0.095821,0.039324,0.01125,0.094953,0.076311,,,,,,,,,
72,0.6,-0.032843,0.096992,0.100229,0.072544,0.095818,0.039331,0.011254,0.094953,0.076316,,,,,,,,,
73,0.608333,-0.032842,0.096994,0.100234,0.072549,0.095818,0.039336,0.011258,0.094952,0.076325,,,,,,,,,
74,0.616667,-0.03284,0.096996,0.100237,0.072551,0.095821,0.039342,0.011257,0.094953,0.076328,,,,,,,,,
75,0.625,-0.032835,0.096992,0.100244,0.07255,0.095824,0.039345,0.01126,0.094955,0.076337,,,,,,,,,
76,0.633333,-0.032839,0.097001,0.100243,0.072549,0.095829,0.039351,0.011259,0.094958,0.07634,,,,,,,,,
