Format Version,1.21,Capture Start Time,2016-02-19 05.16.24.248 PM,Total Frames in Take,Take Name,Best with last video taken on camera Take 2016-02-19 05.16.24 PM,Capture Frame Rate,4269,Total Exported Frames,4269,120,Export Frame Rate,120,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,,,,,,
,,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
73,0.608333,0.032297,0.090052,0.038366,0.019141,0.087935,0.050444,0.044708,0.090036,0.052109,0.031992,0.088105,0.063882,,,,,,
74,0.616667,0.032293,0.090047,0.038366,0.019143,0.087931,0.050442,0.044707,0.090044,0.052104,0.031991,0.088111,0.06387,,,,,,
75,0.625,0.032289,0.090054,0.038366,0.019136,0.087934,0.050439,0.044705,0.090044,0.052108,0.031985,0.088105,0.063873,,,,,,
76,0.633333,0.032277,0.090055,0.038372,0.019128,0.087928,0.05044,0.044693,0.09004,0.052118,0.031978,0.088096,0.063877,,,,,,
77,0.641667,0.03227,0.090046,0.038371,0.019114,0.087928,0.050445,0.044683,0.090034,0.052121,0.031969,0.088096,0.063876,,,,,,
78,0.65,0.032268,0.090051,0.038366,0.019116,0.087933,0.050447,0.044681,0.090035,0.052125,0.031959,0.088108,0.063878,,,,,,
79,0.658333,0.032261,0.090051,0.038366,0.019114,0.087934,0.050441,0.044675,0.090044,0.052121,0.031955,0.088112,0.063872,,,,,,
80,0.666667,0.03227,0.090053,0.038363,0.019113,0.087935,0.050442,0.044676,0.09004,0.052114,0.031959,0.088105,0.063866,,,,,,
81,0.675,0.032276,0.090054,0.038359,0.019121,0.087936,0.050434,0.044694,0.090043,0.05211,0.031966,0.088109,0.063866,,,,,,
82,0.683333,0.032287,0.09005,0.03836,0.019136,0.087935,0.050436,0.044702,0.090037,0.052106,0.031987,0.08811,0.063872,,,,,,
83,0.691667,0.032297,0.090045,0.038364,0.01915,0.087934,0.050441,0.044713,0.090036,0.052108,0.032004,0.088107,0.063875,,,,,,
84,0.7,0.032304,0.09005,0.038363,0.019153,0.087933,0.050444,0.044715,0.090028,0.052111,0.032007,0.088107,0.063881,,,,,,
85,0.708333,0.0323,0.09005,0.038367,0.019145,0.087931,0.050447,0.044712,0.090029,0.052116,0.031996,0.088102,0.063882,,,,,,
86,0.716667,0.032284,0.090045,0.038363,0.019142,0.087928,0.050443,0.044704,0.090033,0.052114,0.031985,0.088102,0.063879,,,,,,
87,0.725,0.03228,0.09005,0.038359,0.019131,0.087925,0.050442,0.044695,0.090037,0.052118,0.031981,0.088104,0.06388,,,,,,
88,0.733333,0.032263,0.090044,0.038361,0.01912,0.087932,0.050441,0.044686,0.090046,0.052117,0.031968,0.088107,0.063874,,,,,,
89,0.741667,0.03227,0.090048,0.038357,0.019114,0.087931,0.050436,0.044683,0.090038,0.052115,0.031959,0.088111,0.063871,,,,,,
90,0.75,0.032267,0.090053,0.038357,0.019113,0.087938,0.050433,0.044686,0.090048,0.052117,0.031966,0.088111,0.063867,,,,,,
91,0.758333,0.032271,0.090056,0.038348,0.019121,0.087935,0.050429,0.044694,0.090043,0.052103,0.031966,0.088113,0.063867,,,,,,
92,0.766667,0.032285,0.090047,0.038352,0.019127,0.087937,0.050429,0.044702,0.090039,0.052101,0.031974,0.088114,0.063863,,,,,,
93,0.775,0.032287,0.090048,0.03835,0.019139,0.087937,0.050434,0.044709,0.090037,0.052105,0.031982,0.088114,0.063867,,,,,,
94,0.783333,0.03229,0.090051,0.038356,0.019147,0.087929,0.050435,0.044712,0.090035,0.052109,0.031986,0.088105,0.063879,,,,,,
95,0.791667,0.032294,0.090042,0.038356,0.019105,0.088075,0.050513,0.044713,0.09003,0.052111,0.031996,0.088104,0.063875,,,,,,
96,0.8,0.032288,0.09004,0.038355,0.019147,0.087924,0.050441,0.044705,0.090036,0.052117,0.031993,0.088106,0.063878,,,,,,
97,0.808333,0.032279,0.090047,0.038352,0.019132,0.087929,0.05044,0.044697,0.090035,0.052115,0.031976,0.088113,0.063878,,,,,,
98,0.816667,0.032279,0.090047,0.038355,0.019128,0.087936,0.050435,0.044692,0.090036,0.052114,0.031971,0.088106,0.063871,,,,,,
99,0.825,0.032274,0.090047,0.038349,0.019129,0.087937,0.05043,0.044694,0.090041,0.052112,0.031962,0.088122,0.063869,,,,,,
100,0.833333,0.032274,0.090047,0.038348,0.019126,0.087938,0.05043,0.044696,0.090044,0.052108,0.031971,0.088119,0.063863,,,,,,
101,0.841667,0.03227,0.090044,0.03834,0.019131,0.087931,0.050419,0.044704,0.090039,0.052102,0.031965,0.08811,0.063863,,,,,,
102,0.85,0.032278,0.090042,0.038339,0.019126,0.087931,0.050422,0.044695,0.090038,0.052109,0.031967,0.088118,0.063861,,,,,,
103,0.858333,0.032282,0.090051,0.038342,0.019129,0.087942,0.050428,0.044707,0.090037,0.052102,0.031976,0.08812,0.063862,,,,,,
104,0.866667,0.032287,0.090047,0.038344,0.019141,0.087936,0.050429,0.044703,0.090037,0.052106,0.031979,0.08812,0.063866,,,,,,
105,0.875,0.032291,0.090047,0.038345,0.019098,0.088078,0.05051,0.044706,0.090041,0.052111,0.031992,0.088113,0.063874,,,,,,
106,0.883333,0.03229,0.090042,0.038348,0.019101,0.088071,0.050506,0.044706,0.090036,0.052116,0.031988,0.088113,0.063875,,,,,,
107,0.891667,0.032291,0.090039,0.038347,0.019104,0.088073,0.050507,0.04471,0.090036,0.052108,0.031991,0.088115,0.063871,,,,,,
108,0.9,0.032289,0.090039,0.038348,0.019102,0.088074,0.050503,0.044708,0.090036,0.052106,0.031988,0.088117,0.063866,,,,,,
109,0.908333,0.032284,0.090043,0.038341,0.019101,0.088081,0.050501,0.044705,0.090037,0.052105,0.03198,0.088122,0.063863,,,,,,
110,0.916667,0.032281,0.090043,0.038342,0.019095,0.088082,0.050502,0.0447,0.090042,0.052111,0.031975,0.088126,0.063865,,,,,,
111,0.925,0.032274,0.090042,0.038338,0.019092,0.088075,0.050504,0.044698,0.090036,0.052107,0.031967,0.088122,0.063866,,,,,,
112,0.933333,0.032274,0.090033,0.038337,0.019129,0.087926,0.050425,0.044701,0.090035,0.052108,0.031961,0.088116,0.063864,,,,,,
113,0.941667,0.032267,0.090042,0.038334,0.01913,0.08793,0.05042,0.044696,0.090042,0.052109,0.031966,0.088126,0.063862,,,,,,
114,0.95,0.032273,0.090042,0.038325,0.019131,0.087935,0.050413,0.044703,0.090045,0.052105,0.031966,0.088126,0.063852,,,,,,
115,0.958333,0.032282,0.090044,0.038329,0.019139,0.087939,0.050413,0.044706,0.09004,0.0521,0.03197,0.088131,0.063853,,,,,,
116,0.966667,0.032292,0.090043,0.038322,0.019106,0.088085,0.050491,0.044718,0.090039,0.052096,0.031984,0.088127,0.063855,,,,,,
117,0.975,0.032293,0.090046,0.038325,0.019112,0.08808,0.050486,0.044723,0.090037,0.052095,0.031991,0.08812,0.063855,,,,,,
118,0.983333,0.032294,0.09004,0.038324,0.019109,0.088076,0.050486,0.044724,0.090039,0.052096,0.031995,0.088124,0.063852,,,,,,
119,0.991667,0.032282,0.090045,0.038327,0.019145,0.087938,0.050413,0.044717,0.090041,0.0521,0.031986,0.088137,0.063848,,,,,,
120,1,0.032283,0.090041,0.038322,0.019142,0.087943,0.05041,0.044715,0.090042,0.052102,0.031975,0.088139,0.063855,,,,,,
121,1.008333,0.032275,0.090037,0.038327,0.019094,0.088087,0.050492,0.044705,0.090035,0.0521,0.031969,0.088136,0.063859,,,,,,
122,1.016667,0.032273,0.090035,0.03833,0.019088,0.088079,0.050493,0.044705,0.090037,0.052114,0.031971,0.088124,0.06386,,,,,,
123,1.025,0.032268,0.090039,0.038329,0.019131,0.087935,0.050414,0.0447,0.09004,0.052114,0.031966,0.088129,0.063853,,,,,,
124,1.033333,0.032269,0.090044,0.038322,0.019096,0.088087,0.050488,0.04471,0.090041,0.052105,0.031964,0.088141,0.06385,,,,,,
125,1.041667,0.032275,0.09004,0.038309,0.019105,0.088087,0.050474,0.04472,0.090048,0.052089,0.031972,0.088148,0.063835,,,,,,
126,1.05,0.032288,0.090041,0.038303,0.019111,0.08809,0.050469,0.044729,0.090047,0.052083,0.031985,0.088149,0.063833,,,,,,
127,1.058333,0.032293,0.090047,0.038306,0.019116,0.088093,0.05047,0.044736,0.090046,0.052085,0.031987,0.088138,0.063829,,,,,,
128,1.066667,0.032292,0.090036,0.038308,0.019114,0.08809,0.050467,0.044735,0.090041,0.05209,0.031994,0.088142,0.063838,,,,,,
129,1.075,0.032284,0.090036,0.038311,0.01911,0.088086,0.05047,0.044735,0.090043,0.052086,0.031987,0.088143,0.063842,,,,,,
130,1.083333,0.032283,0.09004,0.038308,0.01911,0.088093,0.050472,0.044727,0.090041,0.052094,0.031986,0.088152,0.063842,,,,,,
131,1.091667,0.032273,0.090041,0.038314,0.019103,0.088086,0.050477,0.044721,0.090039,0.052099,0.031975,0.088144,0.063843,,,,,,
132,1.1,0.032269,0.090039,0.038313,0.019097,0.088086,0.050483,0.044716,0.09004,0.052103,0.031974,0.088135,0.063843,,,,,,
133,1.108333,0.032268,0.090032,0.038312,0.019097,0.088085,0.050476,0.044717,0.090036,0.052102,0.031968,0.088134,0.063843,,,,,,
134,1.116667,0.032272,0.09004,0.038303,0.019102,0.088086,0.05047,0.044724,0.090041,0.052098,0.031972,0.088148,0.063842,,,,,,
135,1.125,0.032277,0.090036,0.038296,0.0191,0.088088,0.050467,0.044724,0.090043,0.052087,0.031973,0.088147,0.063832,,,,,,
136,1.133333,0.032278,0.090043,0.038288,0.019141,0.087951,0.050384,0.04473,0.09004,0.052081,0.03198,0.088149,0.063823,,,,,,
137,1.141667,0.032277,0.090037,0.038288,0.019103,0.088089,0.050454,0.04473,0.090039,0.05208,0.031976,0.088156,0.06382,,,,,,
138,1.15,0.032272,0.09003,0.038285,0.019108,0.088087,0.050457,0.04473,0.090039,0.052083,0.031977,0.088151,0.06382,,,,,,
139,1.158333,0.032278,0.090028,0.038286,0.019108,0.088093,0.050461,0.044731,0.09004,0.052089,0.031982,0.088148,0.063824,,,,,,
140,1.166667,0.032275,0.090038,0.038286,0.019107,0.088091,0.050459,0.044735,0.090034,0.052089,0.03198,0.088141,0.063821,,,,,,
141,1.175,0.032273,0.090038,0.03829,0.019105,0.088095,0.050463,0.044734,0.090037,0.05209,0.031979,0.088144,0.063826,,,,,,
142,1.183333,0.032272,0.090029,0.038285,0.019112,0.088091,0.050458,0.044731,0.090033,0.052093,0.031979,0.088146,0.06383,,,,,,
143,1.191667,0.032279,0.090023,0.03828,0.019106,0.08809,0.05046,0.044736,0.090035,0.052092,0.031978,0.088147,0.063823,,,,,,
144,1.2,0.032276,0.090029,0.038281,0.019105,0.08809,0.050458,0.044735,0.090038,0.052095,0.031977,0.088147,0.063822,,,,,,
145,1.208333,0.032271,0.09003,0.038281,0.019108,0.088097,0.050456,0.04473,0.090036,0.052091,0.031973,0.088152,0.063822,,,,,,
146,1.216667,0.032276,0.090036,0.038274,0.019106,0.088099,0.050452,0.044732,0.090033,0.052091,0.031974,0.088146,0.063818,,,,,,
147,1.225,0.032273,0.090033,0.038277,0.019109,0.088094,0.05045,0.04474,0.090035,0.052086,0.03197,0.088153,0.063819,,,,,,
148,1.233333,0.032268,0.090027,0.038269,0.019112,0.088094,0.050446,0.044738,0.090033,0.052083,0.031975,0.088153,0.063816,,,,,,
149,1.241667,0.032276,0.090027,0.038269,0.019112,0.088094,0.050443,0.044741,0.090038,0.052083,0.031981,0.088147,0.063815,,,,,,
150,1.25,0.03228,0.090031,0.038263,0.019117,0.088102,0.050449,0.044746,0.090034,0.052086,0.03198,0.088162,0.06381,,,,,,
151,1.258333,0.032279,0.090029,0.038263,0.019117,0.088098,0.050441,0.044744,0.090033,0.052077,0.031979,0.088154,0.063814,,,,,,
152,1.266667,0.032279,0.090036,0.038259,0.01911,0.088097,0.050432,0.044749,0.090031,0.052076,0.03198,0.088157,0.063809,,,,,,
153,1.275,0.032276,0.090025,0.038251,0.019112,0.088096,0.050438,0.044742,0.090034,0.052076,0.031974,0.08816,0.063813,,,,,,
154,1.283333,0.032273,0.090022,0.03825,0.019111,0.088096,0.050427,0.044744,0.090039,0.052083,0.031971,0.088161,0.063804,,,,,,
155,1.291667,0.03227,0.090026,0.03825,0.019106,0.088094,0.05043,0.044743,0.090034,0.052084,0.03197,0.088162,0.063806,,,,,,
156,1.3,0.032275,0.090022,0.038245,0.019105,0.088105,0.050432,0.044741,0.090033,0.052087,0.031975,0.088163,0.063805,,,,,,
157,1.308333,0.032267,0.090019,0.038248,0.019107,0.088102,0.050437,0.044737,0.090031,0.052086,0.031973,0.088163,0.063807,,,,,,
158,1.316667,0.032273,0.090017,0.038243,0.019108,0.088092,0.050425,0.044744,0.090035,0.052079,0.031983,0.088163,0.063803,,,,,,
159,1.325,0.03228,0.090018,0.038235,0.019111,0.088098,0.050425,0.044748,0.09003,0.052073,0.03199,0.088155,0.063794,,,,,,
160,1.333333,0.032281,0.090017,0.038229,0.019116,0.088105,0.050421,0.044757,0.090035,0.052073,0.031984,0.088168,0.063793,,,,,,
161,1.341667,0.032282,0.090014,0.038224,0.019121,0.088103,0.050413,0.044757,0.090032,0.052075,0.031988,0.088167,0.063792,,,,,,
162,1.35,0.032281,0.090009,0.03822,0.019114,0.088109,0.050419,0.044752,0.090031,0.052072,0.031983,0.08817,0.06379,,,,,,
